Business_Week,Platinum_Change,Platinum_Settle,Platinum_Volume,Platinum_Prev. Day Open Interest,Date,Open Interest,Money Manager Shorts,Money Manager Longs,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Ten_Yr_Futures_Change,Ten_Yr_Futures_Settle,Ten_Yr_Futures_Volume,Ten_Yr_Futures_Prev. Day Open Interest,USD_Change,USD_Settle,USD_Volume,USD_Wave,USD_Prev. Day Open Interest,ZAR_Change,ZAR_Settle,ZAR_Volume,ZAR_Wave,ZAR_Prev. Day Open Interest
"[2006-06-07, 2006-06-13]",0.0,1180.3400000000001,1771.2,,2006-06-13,8616.0,3164.0,3257.0,1297.0,3059.0,0.0,105.8625,34971.6,1935826.0,1.76,85.76199999999999,7364.2,,38753.4,0.07600000000000001,6.778999999999999,65.0,,2332.4
"[2006-06-14, 2006-06-20]",0.0,1150.14,1394.4,,2006-06-20,7380.0,2018.0,2964.0,932.0,3319.0,0.0,105.01875,10278.8,2003874.8,0.013000000000000067,86.2112,772.6,,37679.6,0.1175,6.9283,45.0,,2276.8
"[2006-06-21, 2006-06-27]",0.0,1181.3,1488.4,,2006-06-27,8093.0,1908.0,3036.0,1046.0,3622.0,0.0,104.33125,547949.0,2151127.0,0.34,86.0,5056.2,,23433.4,0.1715,7.4125,359.25,,2395.75
"[2006-06-28, 2006-07-04]",0.0,1210.2,1749.6666666666667,,2006-07-03,7338.0,1178.0,3058.0,656.0,3905.0,0.0,104.53125,663508.5,2168869.75,-1.3,85.26399999999998,2935.2,,19682.8,-0.29200000000000004,7.1685,35.6,,2007.0
"[2006-07-05, 2006-07-11]",0.0,1246.3200000000002,51.6,,2006-07-11,8213.0,833.0,3897.0,423.0,4336.0,0.0,104.7125,791971.0,2154420.8,0.23,85.022,2823.0,,19415.6,0.096,7.1819999999999995,186.2,,2227.0
"[2006-07-12, 2006-07-18]",0.0,1254.3400000000001,11.8,,2006-07-18,9022.0,833.0,4471.0,438.0,4925.0,0.0,105.18125,840754.6,2072698.0,1.7000000000000002,86.06000000000002,4738.6,,18629.2,0.05999999999999999,7.2446,28.2,,2605.8
"[2006-07-19, 2006-07-25]",0.0,1224.6200000000001,0.6,,2006-07-25,8567.0,583.0,4145.0,432.0,4903.0,0.0,105.51875,906171.6,2047130.8,-0.32000000000000006,86.05600000000001,4580.4,,17135.4,-0.182,7.046600000000001,68.8,,2585.2
"[2006-07-26, 2006-08-01]",0.0,1242.0400000000002,418.6,,2006-08-01,9272.0,383.0,4789.0,404.0,5219.0,0.0,105.86875,797264.0,2070984.4,-1.59,85.27799999999999,2782.6,,15964.6,-0.05399999999999999,6.9474,150.2,,3187.0
"[2006-08-02, 2006-08-08]",0.0,1257.2,665.4,,2006-08-08,10176.0,383.0,5083.0,394.0,5517.0,0.0,106.334375,808699.4,2190924.6,-0.33999999999999997,84.604,2668.6,,16886.0,-0.158,6.8658,64.2,,3413.0
"[2006-08-09, 2006-08-15]",0.0,1248.52,817.4,,2006-08-15,9948.0,383.0,4901.0,420.0,5169.0,0.0,106.178125,734383.4,2258219.0,0.5700000000000001,85.07199999999999,1949.8,,18516.2,0.04950000000000003,6.8292,103.2,,3612.6
"[2006-08-16, 2006-08-22]",0.0,1237.56,721.6,,2006-08-22,9877.0,383.0,4588.0,455.0,5135.0,0.0,106.825,792486.2,2305033.8,0.030000000000000027,84.858,2383.2,,18870.4,0.289,6.9791,83.2,,3935.0
"[2006-08-23, 2006-08-29]",0.0,1232.48,649.0,,2006-08-29,9665.0,525.0,4612.0,537.0,5036.0,0.0,106.95625,1000051.4,2323386.4,-0.26999999999999996,85.082,1344.6,,18923.6,-0.0405,7.1696,376.4,,2162.8
"[2006-08-30, 2006-09-05]",0.0,1255.75,1325.75,,2006-09-05,10269.0,575.0,5203.0,601.0,5371.0,0.0,107.3046875,591776.5,2269876.0,0.15999999999999998,84.89200000000001,1219.8,,19968.0,0.06299999999999999,7.1911000000000005,9.4,,2233.6
"[2006-09-06, 2006-09-12]",0.0,1234.1,1650.8,,2006-09-12,9399.0,600.0,4359.0,461.0,4804.0,0.0,107.15,70353.2,2277428.8,0.94,85.648,6240.6,,21947.4,0.1775,7.359399999999999,137.2,,2221.0
"[2006-09-13, 2006-09-19]",0.0,1170.16,1312.6,,2006-09-19,8528.0,550.0,3433.0,739.0,4074.0,0.0,107.196875,19200.6,2306012.0,0.014999999999999944,85.86999999999999,1136.2,,16750.0,-0.045000000000000005,7.3543,51.0,,2086.6
"[2006-09-20, 2006-09-26]",0.0,1138.48,1761.4,,2006-09-26,8451.0,671.0,3422.0,682.0,3993.0,0.0,108.175,937843.4,2261759.8,-0.29000000000000004,85.08399999999999,2860.2,,18577.4,0.2485,7.6915,391.75,,3084.5
"[2006-09-27, 2006-10-03]",0.0,1140.8600000000001,918.2,,2006-10-03,7682.0,863.0,3389.0,521.0,3833.0,0.0,108.19375,912709.2,2228200.6,0.11000000000000001,85.426,3698.0,,21804.0,0.21750000000000003,7.7974000000000006,153.8,,2986.0
"[2006-10-04, 2006-10-10]",0.0,1078.5,30.4,,2006-10-10,6968.0,1501.0,2716.0,543.0,3177.0,0.0,107.921875,1165711.25,2281716.25,1.3400000000000003,86.088,3273.4,,26241.8,-0.163,7.8634,216.8,,2230.0
"[2006-10-11, 2006-10-17]",0.0,1076.0000000000002,2.8,,2006-10-17,7288.0,1572.0,2700.0,532.0,3436.0,0.0,107.00625,976683.0,2419820.4,-0.13,86.77599999999998,3128.6,,33939.8,-0.1085,7.6209999999999996,214.8,,2164.2
"[2006-10-18, 2006-10-24]",0.0,1078.0,0.2,,2006-10-24,7046.0,1426.0,2530.0,653.0,3138.0,0.0,106.94375,735809.8,2499685.2,-0.22000000000000006,86.334,3249.4,,35230.8,0.10250000000000001,7.645599999999999,42.0,,2091.2
"[2006-10-25, 2006-10-31]",0.0,1074.1666666666667,13.666666666666666,,2006-10-31,7648.0,1739.0,2744.0,853.0,3227.0,0.0,107.653125,1017715.2,2467547.2,-1.3099999999999998,85.54400000000001,5855.4,,32494.8,-0.3435,7.511,104.6,,2181.0
"[2006-11-01, 2006-11-07]",0.0,,,,2006-11-07,9085.0,1354.0,3125.0,995.0,4251.0,0.0,107.9375,1080627.8,2420069.4,0.13,85.324,2860.6,,33675.0,-0.091,7.3969000000000005,128.0,,3202.4
